1,vulgarities,vulgarity
1,samplers,sampler
25,facilities,facility
8,toastmasters,toastmaster
1,craftsmen,craftsman
11,musketeers,musketeer
6,barnacles,barnacle
5,els,-2
2,soils,soil
14,goodies,goody
36,pintos,pinto
1,concordances,concordance
4,couriers,courier
9,oscars,oscar
66,aras,-2
1,tickers,ticker
98,junos,juno
3,cakes,cake
1,globes,globe
1,eddas,edda
4,dolphins,dolphin
3,excursions,excursion
14,ribs,rib
40,wss,-2
65,snps,snp
2,outs,out
2,raffles,raffle
1,sols,sol
4,hikes,hike
1,canaries,canary
13,artisans,artisan
1,interviewees,interviewee
1,skims,skim
5,flies,fly
1,parallelograms,parallelogram
2,gobis,gobi
1,cheques,cheque
1,lunches,lunch
1,insertions,insertion
1,hybridomas,hybridoma
1,actinides,actinide
3,diodes,diode
4,hexes,hex
2,pagerss,pager
2,deserts,desert
1,merits,merit
1,jiffies,jiffy
2,blessings,blessing
3055,media,medium
26,skillets,skillet
1,civilizations,civilization
1,rivals,rival
2,democrats,democrat
1,syllogisms,syllogism
262,countries,country
66,methodologies,methodology
2,watermarks,watermark
1,mandates,mandate
3,gimps,gimp
149,ss,-1
3,mammals,mammal
3,ukrainians,ukrainian
1,zeds,zed
10,journalists,journalist
1,earphones,earphone
1,latencies,latency
2,slabs,slab
252,philips,philip
8,bylaws,bylaw
1,plotters,plotter
1,nims,nim
2,statutes,statute
2,folds,fold
1,approximations,approximation
1,abbs,-2
2,bootstraps,bootstrap
1,psalms,psalm
2,muss,-2
1,knaves,knave
1,graduates,graduate
1,ikons,ikon
5,beverages,beverage
1,eyebrows,eyebrow
2,ctss,-2
9,cables,cable
14,cannibals,cannibal
1729,gis,-2
1,nimses,nim
1,psyops,psyop
532,cs,-2
7,breaks,break
1,dieses,diesis
3,noodles,noodle
3,refunds,refund
1,electives,elective
37,xs,-2
1,auditions,audition
2,substrates,substrate
1,apostrophes,apostrophe
2,decays,decay
32,muses,-2
4,stamina,stamen
4,uses,-2
1,removals,removal
1,laplaces,laplace
20,cls,-2
3,pings,ping
1,ssssssssssssss,-1
6,prayers,prayer
5,predictors,predictor
211,dados,dado
1,headaches,headache
4,fellows,fellow
2,semicolons,semicolon
1,gbss,gb
1,barbers,barber
2,biss,bi
7331,keras,kera
305,ingress,ingres
2,phages,phage
2,punches,punch
3,obis,-2
